BatterHeight,PitchDescription,sz_top,sz_bot,px,pz,pz_norm
numeric,numeric,numeric,numeric,numeric,numeric,numeric
6.166666667,1,3.56,1.68,-0.127,3.593,1.035106383
6.166666667,0,3.56,1.68,0.059,0.433,-2.326595745
6.166666667,1,3.56,1.68,-0.595,2.92,0.319148936
5.833333333,0,3.38,1.5,-1.198,2.672,0.246808511
5.833333333,0,3.38,1.5,-1.259,2.36,-0.085106383
5.833333333,0,3.38,1.5,1.266,2.085,-0.377659574
5.833333333,0,3.38,1.5,-1.278,3.001,0.596808511
5.833333333,0,3.01,1.44,-0.989,3.424,1.527388535
5.583333333,0,3.38,1.5,0.449,3.595,1.228723404
5.75,0,3.13,1.47,0.164,0.968,-1.604819277
6.416666667,0,3.08,1.5,-1.969,4.105,2.297468354
6.416666667,0,3.08,1.5,-1.303,2.329,0.049367089
6.416666667,0,3.08,1.5,-1.625,2.318,0.035443038
6.083333333,0,2.96,1.35,-1.66,3.43,1.583850932
5.916666667,1,3.38,1.5,-0.563,2.238,-0.214893617
5.916666667,1,3.38,1.5,-0.906,3.145,0.75
6.166666667,0,3.56,1.68,-2.582,-0.215,-3.015957447
6.166666667,1,3.56,1.68,-0.695,2.171,-0.477659574
6.166666667,1,3.56,1.68,-0.481,3.162,0.576595745
5.916666667,0,3.29,1.52,1.387,1.395,-1.141242938
5.916666667,0,3.29,1.52,-0.833,4.297,2.137853107
5.916666667,1,3.29,1.52,0.316,2.418,0.014689266
5.916666667,0,3.29,1.52,0.868,2.49,0.096045198
5.833333333,0,3.38,1.5,2.149,1.993,-0.475531915
5.833333333,0,3.38,1.5,1.495,1.206,-1.312765957
5.833333333,1,3.01,1.44,-0.72,2.941,0.912101911
5.833333333,0,3.01,1.44,1.491,0.79,-1.828025478
5.833333333,0,3.01,1.44,-1.586,2.143,-0.104458599
5.833333333,1,3.01,1.44,0.414,1.95,-0.350318471
5.583333333,1,3.38,1.5,-0.511,2.86,0.446808511
6.083333333,1,2.96,1.35,0.718,2.515,0.447204969
6.083333333,0,2.96,1.35,1.119,2.5,0.428571429
6.083333333,0,2.96,1.35,-1.39,3.499,1.669565217
5.916666667,0,3.29,1.52,-1.409,2.638,0.263276836
5.916666667,1,3.29,1.52,-0.483,2.426,0.023728814
5.916666667,1,3.29,1.52,-1.116,2.402,-0.003389831
6.166666667,1,3.66,1.67,-0.819,2.264,-0.403015075
6.166666667,1,3.66,1.67,-0.415,3.435,0.773869347
6.416666667,1,3.53,1.52,-0.494,2.735,0.208955224
6.333333333,0,3.34,1.56,-2.021,1.567,-0.992134831
6.333333333,0,3.34,1.56,-2.119,2.802,0.395505618
6.333333333,0,3.34,1.56,-1.281,3.641,1.338202247
6.166666667,0,3.34,1.48,1.38,2.013,-0.42688172
6.166666667,0,3.34,1.48,-1.261,2.292,-0.12688172
5.75,0,3.38,1.5,-1.448,4.128,1.795744681
5.75,0,3.38,1.5,-1.829,4.154,1.823404255
6.25,1,3.19,1.5,-0.528,3.575,1.455621302
6.25,0,3.19,1.5,-0.512,1.213,-1.33964497
6.166666667,1,3.66,1.67,0.243,3.403,0.741708543
6.166666667,1,3.66,1.67,0.582,3.221,0.55879397
6.416666667,0,3.53,1.52,0.358,0.412,-2.102487562
6.166666667,0,3.38,1.5,1.903,2.424,-0.017021277
6.166666667,0,3.38,1.5,1.596,2.05,-0.414893617
6.166666667,1,3.38,1.5,-0.339,2.527,0.092553191
6.166666667,0,3.38,1.5,-0.504,1.807,-0.673404255
6.166666667,1,3.38,1.5,0.112,3.368,0.987234043
6,0,3.07,1.47,0.439,1.098,-1.465
6,0,3.07,1.47,0.824,1.438,-1.04
6,0,3.07,1.47,0.586,1.794,-0.595
6,1,3.07,1.47,0.648,2.743,0.59125
6,0,3.07,1.47,1.205,1.099,-1.46375
6,0,3.38,1.5,-0.751,3.866,1.517021277
6,1,3.38,1.5,-0.768,2.983,0.577659574
6,1,3.38,1.5,-0.92,3.115,0.718085106
5.75,0,3.38,1.5,0.246,1.798,-0.682978723
5.75,0,3.38,1.5,0.224,1.809,-0.671276596
5.75,1,3.38,1.5,-0.084,2.213,-0.241489362
6.25,0,3.19,1.5,0.448,1.319,-1.214201183
6.25,1,3.19,1.5,-1.041,3.432,1.286390533
6.25,0,3.19,1.5,-1.286,3.548,1.423668639
6.25,0,3.19,1.5,0.48,4.04,2.00591716
6.25,1,3.19,1.5,-0.101,3.44,1.295857988
6.25,0,3.19,1.5,0.431,3.724,1.631952663
6.166666667,0,3.66,1.67,-0.949,3.288,0.626130653
6.333333333,0,3.34,1.56,-0.791,3.919,1.650561798
6.166666667,0,3.38,1.5,1.216,1.825,-0.654255319
6.166666667,0,3.38,1.5,0.836,2.425,-0.015957447
6.166666667,0,3.34,1.48,0.97,1.876,-0.574193548
6,0,3.07,1.47,1.258,3.779,1.88625
6,0,3.38,1.5,-1.034,3.535,1.164893617
6,1,3.38,1.5,-0.668,2.154,-0.304255319
6,1,3.38,1.5,-1.041,3.078,0.678723404
6,0,3.38,1.5,1.026,3.058,0.657446809
5.75,1,3.38,1.5,-0.188,2.148,-0.310638298
6.166666667,0,3.553,1.67,-0.834,1.951,-0.701540096
6.166666667,1,3.553,1.67,0,2.016,-0.632501328
6.166666667,0,3.553,1.67,-0.969,1.599,-1.075411577
6.416666667,0,3.53,1.52,-0.431,3.633,1.102487562
6.416666667,0,3.53,1.52,0.949,1.548,-0.972139303
6.166666667,0,3.22,1.38,-1.292,3.808,1.639130435
6.166666667,0,3.22,1.38,0.699,3.561,1.370652174
6.166666667,0,3.12,1.33,-0.593,4.681,2.744134078
6.166666667,0,3.292,1.5,0.931,2.097,-0.333705357
6.166666667,1,3.292,1.5,0.911,2.579,0.204241071
6.166666667,0,3.292,1.5,1.636,1.556,-0.9375
6.166666667,1,3.292,1.5,0.788,2.08,-0.352678571
6,0,3.38,1.5,1.396,1.727,-0.758510638
6,0,3.38,1.5,0.952,3.22,0.829787234
6,0,3.38,1.5,0.929,1.982,-0.487234043
6,1,3.38,1.5,0.411,1.992,-0.476595745
6.416666667,0,3.53,1.52,0.021,1.273,-1.245771144
6.416666667,0,3.53,1.52,-0.74,1.79,-0.731343284
6.416666667,1,3.53,1.52,-0.245,3.485,0.955223881
6.416666667,1,3.53,1.52,0.401,1.97,-0.552238806
6.166666667,1,3.34,1.48,-0.627,2.687,0.297849462
6.166666667,0,3.34,1.48,0.179,4.15,1.870967742
6.166666667,0,3.34,1.48,0.008,4.6,2.35483871
6.166666667,1,3.22,1.38,0.409,2.565,0.288043478
6.166666667,0,3.22,1.38,-0.791,4.207,2.072826087
6.166666667,0,3.22,1.38,-0.348,4.254,2.123913043
6.166666667,1,3.22,1.38,0.83,2.382,0.089130435
6,1,3.215,1.47,-0.346,2.885,0.621776504
6,0,3.215,1.47,0.381,3.361,1.167335244
6,0,3.215,1.47,-1.409,3.449,1.268194842
6,1,3.215,1.47,0.531,3.277,1.071060172
6.25,1,3.45,1.6,-0.899,2.608,0.08972973
6.25,1,3.45,1.6,-0.899,2.266,-0.28
6.25,0,3.45,1.6,-2.363,2.991,0.503783784
6.166666667,0,3.38,1.5,-1.164,2.068,-0.395744681
6.083333333,0,3.2,1.51,-0.035,3.681,1.569230769
6.083333333,0,3.2,1.51,0.838,2.112,-0.287573964
6.083333333,1,3.2,1.51,0.528,2.521,0.196449704
6.083333333,1,3.2,1.51,0.575,2.369,0.016568047
6.083333333,0,3.2,1.51,-1.159,2.38,0.029585799
6.083333333,1,3.17,1.49,-0.577,3.259,1.105952381
6.083333333,0,3.17,1.49,-0.766,3.855,1.81547619
6.083333333,1,3.496,1.674,-0.982,3.216,0.692645445
6.083333333,0,3.491,1.674,-1.925,3.105,0.57512383
6.333333333,0,3.38,1.782,0.772,2.408,-0.216520651
6,0,3.139,1.658,0.325,3.613,1.640108035
6,0,3.139,1.504,1.286,3.179,1.048929664
6,1,3.139,1.504,0.393,3.281,1.173700306
6,0,3.139,1.504,1.084,2.186,-0.165749235
6.083333333,0,3.16,1.47,1.119,2.473,0.186982249
6.083333333,1,3.421,1.591,-0.175,2.829,0.353005464
6.083333333,1,3.348,1.591,0.324,3.018,0.624359704
6.083333333,1,3.348,1.591,0.942,2.448,-0.024473534
6.083333333,1,3.426,1.733,-0.136,2.341,-0.281748376
6.083333333,1,3.426,1.733,0.719,3.062,0.569994093
6.083333333,0,3.426,1.733,1.043,2.992,0.48730065
6.083333333,0,3.426,1.733,1.127,2.131,-0.529828706
6.083333333,0,3.426,1.733,0.659,3.392,0.959834613
6.083333333,0,3.426,1.733,-1.565,3.244,0.784997047
6,1,3.38,1.5,-1.078,3.11,0.712765957
6,0,3.38,1.5,-1.499,3.701,1.341489362
5.916666667,0,3.25,1.52,-1.134,1.859,-0.608092486
5.916666667,1,3.25,1.52,-0.462,3.459,1.241618497
6.083333333,1,3.2,1.51,0.616,2.598,0.287573964
6.333333333,1,3.38,1.782,-0.248,2.001,-0.725907384
6.333333333,0,3.38,1.782,0.255,3.718,1.423028786
6.333333333,0,3.38,1.782,1.129,3.296,0.894868586
6.083333333,0,3.348,1.591,0.988,2.53,0.068867388
6,0,3.38,1.674,0.812,3.102,0.674091442
6,1,3.38,1.674,-0.106,2.798,0.317702227
6,1,3.38,1.674,0.829,3.06,0.624853458
6.083333333,0,3.2,1.51,-0.844,4.259,2.253254438
6.083333333,1,3.2,1.51,0.139,3.633,1.512426036
6.083333333,0,3.2,1.51,1.107,3.748,1.64852071
6.083333333,0,3.491,1.674,1.032,1.901,-0.750137589
6.083333333,0,3.491,1.674,-1.322,2.735,0.167859108
6.333333333,0,3.599,1.782,-0.011,1.846,-0.92955421
6.333333333,0,3.599,1.782,0.929,2.784,0.102916896
6.333333333,0,3.599,1.782,-0.348,3.697,1.107870116
6.333333333,1,3.599,1.782,0.345,2.961,0.297743533
6,0,3.139,1.504,1.369,1.86,-0.564525994
6,0,3.139,1.504,1.436,1.924,-0.486238532
6,1,3.139,1.504,0.731,2.15,-0.209785933
6,1,3.139,1.504,0.581,2.048,-0.334556575
6.083333333,1,3.348,1.591,-0.005,2.618,0.169038133
5.916666667,1,2.926,1.351,-0.603,3.415,1.620952381
6.083333333,1,3.2,1.51,0.292,2.518,0.192899408
6.083333333,1,3.491,1.674,0.604,3.133,0.605943864
6.083333333,0,3.491,1.674,-1.489,2.131,-0.496973032
6.083333333,0,3.491,1.674,1.673,3.201,0.680792515
6.333333333,1,3.599,1.782,0.635,2.402,-0.317556412
6.333333333,0,3.599,1.782,1.411,1.998,-0.76224546
6,0,3.139,1.504,1.235,3.501,1.442813456
6.083333333,0,3.348,1.591,-1.24,2.79,0.364826409
6.083333333,1,3.348,1.591,-0.112,2.209,-0.296528173
6.083333333,0,3.348,1.591,1.796,2.061,-0.464997154
6.083333333,1,3.348,1.591,0.299,1.831,-0.726807057
6.083333333,0,3.426,1.733,0.178,1.592,-1.166568222
6.083333333,0,3.426,1.733,-1.268,2.275,-0.35971648
6.083333333,1,3.426,1.733,-0.089,1.816,-0.901949203
