BatterHeight,PitchDescription,sz_top,sz_bot,px,pz,pz_norm
numeric,numeric,numeric,numeric,numeric,numeric,numeric
6,1,3.35,1.66,-0.296,3.27,0.905325444
6,0,3.35,1.66,0.446,1.142,-1.613017751
6,0,3.35,1.66,-0.84,3.563,1.252071006
6.25,1,3.46,1.66,0.093,2.233,-0.363333333
6.25,0,3.46,1.66,-1.887,2.364,-0.217777778
6.25,0,3.16,1.49,-1.688,2.481,0.186826347
6.25,0,3.16,1.49,-0.668,1.58,-0.892215569
6,1,3.45,1.55,-0.605,2.897,0.417894737
6,0,3.45,1.55,-0.361,1.235,-1.331578947
6.166666667,0,4.17,1.67,-1.767,4.012,0.8736
6.166666667,1,4.17,1.67,-0.666,3.055,0.108
6.166666667,1,4.17,1.67,-1.203,2.686,-0.1872
6.166666667,1,3.38,1.5,0.495,1.928,-0.544680851
6.166666667,1,3.38,1.5,-0.976,2.325,-0.122340426
6.166666667,0,3.38,1.5,0.953,1.425,-1.079787234
6.166666667,1,3.27,1.46,-0.298,2.561,0.216574586
6.166666667,0,3.27,1.46,0.557,1.824,-0.597790055
6.166666667,0,3.27,1.46,0.175,5.064,2.982320442
6.166666667,0,3.27,1.46,-1.387,4.371,2.216574586
6.25,0,3.41,1.63,-0.93,3.476,1.074157303
6.25,0,3.41,1.63,0.354,4.763,2.520224719
6,1,3.35,1.66,0.207,2.703,0.234319527
6,0,3.35,1.66,1.964,1.637,-1.027218935
6,0,3.35,1.66,-0.867,4.426,2.273372781
6.25,0,3.46,1.66,1.092,0.472,-2.32
6.25,0,3.16,1.49,0.152,0.869,-1.743712575
6,0,3.45,1.55,-1.635,3.091,0.622105263
6.166666667,1,4.17,1.67,0.222,1.729,-0.9528
5.916666667,0,3.22,1.54,-0.136,1.38,-1.19047619
5.916666667,0,3.22,1.54,0.687,0.562,-2.164285714
5.916666667,1,3.22,1.54,0.321,2.105,-0.327380952
5.916666667,1,3.22,1.54,-0.448,3.356,1.161904762
6,0,3.35,1.66,1.504,2.987,0.570414201
6,1,3.35,1.66,0.31,1.758,-0.884023669
6,0,3.35,1.66,-1.686,1.167,-1.583431953
6.25,1,3.46,1.66,-0.266,2.053,-0.563333333
6.25,1,3.46,1.66,-0.76,2.378,-0.202222222
6.25,1,3.16,1.49,0.828,1.95,-0.449101796
6,1,3.45,1.55,0.106,1.744,-0.795789474
6,0,3.21,1.53,-1.156,3.47,1.30952381
6,0,3.21,1.53,-1.196,2.987,0.73452381
6.083333333,0,3.38,1.5,1.706,1.788,-0.693617021
6.083333333,0,3.38,1.5,1.582,2.865,0.45212766
6.083333333,1,3.38,1.5,0.661,1.981,-0.488297872
6,0,3.38,1.5,1.655,2.526,0.091489362
6,1,3.38,1.5,0.532,2.188,-0.268085106
6.333333333,1,3.38,1.5,1.184,2.567,0.135106383
6,0,3.094,1.5,0.246,3.89,1.998745295
6.416666667,1,3.44,1.72,-0.549,2.438,-0.165116279
6.333333333,0,3.34,1.59,-1.278,2.157,-0.352
6.25,0,3.38,1.5,1.051,3.479,1.105319149
6.083333333,1,3.38,1.5,0.689,3.373,0.992553191
6.083333333,1,3.38,1.5,0.116,2.31,-0.138297872
6.083333333,1,3.38,1.5,0.93,2.391,-0.05212766
6,1,3.38,1.5,0.878,2.415,-0.026595745
6,1,3.38,1.5,0.047,2.646,0.219148936
6,0,3.38,1.5,0.992,1.348,-1.161702128
6,1,3.38,1.5,0.613,2.085,-0.377659574
6.333333333,1,3.38,1.5,0.528,3.015,0.611702128
6,1,3.094,1.5,-0.052,2.381,0.105395232
6,0,3.094,1.5,1.219,1.034,-1.584692597
6,1,3.094,1.5,0.453,3.113,1.023839398
6,0,3.094,1.5,-1.443,0.662,-2.051442911
6,0,3.094,1.5,1.156,4.169,2.34880803
6,0,3.094,1.5,0.332,0.891,-1.764115433
6.25,0,3.38,1.5,2.867,2.657,0.230851064
6,1,3.21,1.53,-0.053,3.447,1.282142857
6,0,3.21,1.53,-1.32,3.171,0.953571429
6,1,3.21,1.53,-0.797,3.374,1.195238095
6.083333333,0,3.38,1.5,1.113,1.844,-0.634042553
6.083333333,1,3.38,1.5,0.956,2.593,0.162765957
6.083333333,1,3.38,1.5,-0.314,2.863,0.45
6,1,3.454,1.5,-0.652,3.145,0.683725691
6,1,3.454,1.5,-0.475,3.301,0.843398158
6,0,3.454,1.5,-0.147,1.744,-0.750255885
6.333333333,1,3.38,1.5,0.047,2.117,-0.343617021
6.083333333,1,3.28,1.61,-0.705,2.761,0.378443114
6.083333333,1,3.28,1.61,-0.359,2.228,-0.25988024
6.083333333,0,3.28,1.61,-1.84,2.71,0.317365269
