BatterHeight,PitchDescription,sz_top,sz_bot,px,pz,pz_norm
numeric,numeric,numeric,numeric,numeric,numeric,numeric
5.583333333,1,3.38,1.5,-1.381,2.624,0.195744681
5.583333333,0,3.38,1.5,0.805,1.855,-0.622340426
5.583333333,0,3.38,1.5,-0.742,2.839,0.424468085
5.75,0,3.13,1.47,-0.146,1.908,-0.472289157
5.75,1,3.13,1.47,0.526,2.337,0.044578313
6.416666667,1,3.08,1.5,-0.716,2.901,0.773417722
6.416666667,0,3.08,1.5,1.493,2.256,-0.043037975
6.083333333,1,2.96,1.35,-0.699,2.868,0.885714286
6.166666667,0,3.56,1.68,-1.279,1.582,-1.104255319
6.166666667,0,3.56,1.68,1.046,2.179,-0.469148936
6.166666667,1,3.56,1.68,0.447,2.335,-0.303191489
5.833333333,0,3.38,1.5,-1.62,1.639,-0.85212766
5.833333333,0,3.38,1.5,-0.611,1.49,-1.010638298
5.833333333,1,3.01,1.44,-0.462,1.903,-0.410191083
5.583333333,1,3.38,1.5,-0.385,1.783,-0.69893617
5.583333333,0,3.38,1.5,-0.886,2.755,0.335106383
5.75,1,3.13,1.47,-1.311,2.949,0.781927711
6.416666667,0,3.08,1.5,-0.299,3.968,2.124050633
6.416666667,1,3.08,1.5,-0.453,2.284,-0.007594937
6.083333333,1,2.96,1.35,-0.876,2.26,0.130434783
6.083333333,0,2.96,1.35,-1.841,2.631,0.591304348
6.083333333,0,2.96,1.35,-1.685,2.476,0.398757764
6.083333333,0,2.96,1.35,0.323,2.598,0.550310559
6.166666667,0,3.38,1.5,1.056,4.265,1.941489362
6.166666667,1,3.38,1.5,0.07,2.463,0.024468085
6.166666667,0,3.38,1.5,-1.334,2.091,-0.371276596
6.166666667,0,3.38,1.5,1.976,4.738,2.444680851
5.75,0,3.38,1.5,0.71,3.611,1.245744681
5.75,0,3.38,1.5,-2.193,2.337,-0.109574468
5.75,0,3.38,1.5,-1.254,4.415,2.10106383
5.75,1,3.38,1.5,-0.697,3.311,0.926595745
5.75,0,3.38,1.5,-2.402,1.533,-0.964893617
6.25,1,3.19,1.5,-0.872,1.827,-0.613017751
6.25,0,3.19,1.5,-4.361,-0.497,-3.363313609
6.25,0,3.532,1.5,-0.84,1.221,-1.274606299
6.25,1,3.532,1.5,-1.295,2.955,0.432086614
6.166666667,0,3.553,1.67,0.639,3.586,1.035050451
6.166666667,1,3.553,1.67,0.731,1.814,-0.847052576
6.416666667,1,3.53,1.52,-0.62,3.507,0.977114428
6.166666667,0,3.34,1.48,0.199,1.578,-0.894623656
6.166666667,0,3.34,1.48,0.989,1.728,-0.733333333
6.166666667,0,3.34,1.48,2.461,2.204,-0.221505376
