BatterHeight,PitchDescription,sz_top,sz_bot,px,pz,pz_norm
numeric,numeric,numeric,numeric,numeric,numeric,numeric
6.166666667,1,3.27,1.46,-0.46,2.95,0.64640884
6.166666667,0,3.27,1.46,-2.455,2.175,-0.209944751
6.166666667,0,3.27,1.46,-2.437,3.717,1.493922652
6.25,0,3.41,1.63,-0.068,1.655,-0.971910112
6,0,3.35,1.66,1.26,1.607,-1.062721893
6,1,3.35,1.66,-0.042,2.897,0.463905325
6,1,3.35,1.66,-1.057,2.916,0.486390533
6.25,0,3.46,1.66,-1.421,3.18,0.688888889
6.25,0,3.46,1.66,-0.516,1.006,-1.726666667
6.25,0,3.16,1.49,-0.677,4.753,2.907784431
6.25,0,3.16,1.49,0.695,3.342,1.217964072
6.25,1,3.16,1.49,-0.88,2.821,0.594011976
6.25,0,3.16,1.49,1.05,1.21,-1.335329341
6.25,0,3.16,1.49,-1.371,3.788,1.752095808
6.166666667,1,4.17,1.67,-0.653,2.339,-0.4648
6.166666667,0,4.17,1.67,-1.429,2.364,-0.4448
6.166666667,0,3.38,1.5,0.268,1.733,-0.75212766
6.166666667,1,3.38,1.5,-0.68,3.073,0.673404255
6.166666667,0,3.38,1.5,2.735,1.311,-1.20106383
5.916666667,0,3.22,1.54,-2.197,4.887,2.98452381
5.916666667,0,3.22,1.54,-1.287,1.837,-0.646428571
5.916666667,0,3.22,1.54,-1.056,3.476,1.304761905
5.916666667,1,3.22,1.54,-1.152,2.373,-0.008333333
5.916666667,0,3.22,1.54,-0.968,3.392,1.204761905
6.166666667,0,3.27,1.46,-1.066,3.075,0.784530387
6.166666667,0,3.27,1.46,1.451,2.293,-0.079558011
6.25,0,3.41,1.63,-0.278,1.742,-0.874157303
5.916666667,0,3.38,1.689,-0.124,4.802,2.681845062
5.916666667,0,3.38,1.689,0.218,0.577,-2.315198108
5.916666667,0,3.38,1.689,1.224,-0.078,-3.08988764
5.833333333,0,3.292,1.3,-0.041,3.526,1.234939759
5.833333333,0,3.292,1.3,-1.021,2.403,0.107429719
5.833333333,0,3.292,1.3,0.118,1.8,-0.497991968
5.833333333,0,3.292,1.3,-1.242,2.662,0.36746988
6.083333333,0,3.28,1.61,-1.71,3.491,1.252694611
6,1,3.525,1.48,-0.965,3.23,0.711491443
5.833333333,0,3.434,1.5,1.094,1.333,-1.172699069
5.833333333,0,3.434,1.5,-0.109,0.829,-1.693898656
6.083333333,1,3.375,1.5,-0.834,2.949,0.5456
6.083333333,0,3.522,1.5,0.589,1.388,-1.110781405
6.083333333,0,3.522,1.5,-1.346,2.396,-0.113748764
5.75,0,3.41,1.57,-0.761,4.156,1.810869565
5.916666667,0,3.12,1.46,-0.175,1.743,-0.659036145
5.916666667,0,3.38,1.689,-1.163,2.55,0.018332348
5.916666667,1,3.38,1.689,-1.021,2.203,-0.392075695
5.916666667,0,3.38,1.689,-0.605,0.673,-2.201655825
5.833333333,1,3.292,1.3,-0.39,2.707,0.412650602
5.833333333,0,3.292,1.3,-0.607,0.616,-1.686746988
6.083333333,0,3.28,1.61,-1.687,1.696,-0.897005988
6.083333333,0,3.28,1.61,-0.547,0.905,-1.844311377
6,0,3.525,1.48,-1.091,2.472,-0.029828851
6.333333333,1,3.679,1.5,-0.807,3.017,0.392381827
6.333333333,0,3.679,1.5,-2.094,2.798,0.191372189
5.833333333,0,3.434,1.5,-1.73,3.203,0.761116856
5.833333333,0,3.434,1.5,-0.1,3.703,1.278179938
5.833333333,0,3.434,1.5,-0.781,3.958,1.54188211
5.833333333,0,3.434,1.5,0.11,3.875,1.456049638
6.083333333,0,3.522,1.5,-1.686,2.983,0.466864491
5.916666667,1,3.12,1.46,-0.633,2.66,0.445783133
5.833333333,1,3.292,1.3,-0.401,2.365,0.069277108
6,0,3.25,1.45,0.191,2.785,0.483333333
6.083333333,1,3.72,1.45,0.013,2.771,0.163876652
6.083333333,0,3.72,1.45,0.971,0.439,-1.890748899
6,1,3.38,1.58,0.118,2.297,-0.203333333
6,0,3.38,1.58,0.426,0.924,-1.728888889
6,1,3.38,1.58,-0.357,2.674,0.215555556
